Day,Month,Year,Latitude,Longitude,Acres,County,AgencyCode,Source,DDLat,DDLon,ORIG_OID
6,1,2007,21.4640217,-158.2129211,0.1,Oahu,OA384,Honolulu Fire Dept,21.46402170N,158.21292110W,2404
26,4,2007,21.4640217,-158.2129211,0.1,Oahu,OA385,Honolulu Fire Dept,21.46402170N,158.21292110W,2405
14,5,2001,21.4649143,-158.2128754,2,Oahu,OA387,Honolulu Fire Dept,21.46491430N,158.21287540W,2406
8,4,2001,21.4649143,-158.2128754,0.2,Oahu,OA386,Honolulu Fire Dept,21.46491430N,158.21287540W,2407
12,8,2016,21.46405,-158.212853,0.01,Oahu,2016_OA_0046277, ,21.46405000N,158.21285300W,2408
15,11,2016,21.46405,-158.212853,0.01,Oahu,2016_OA_0065522, ,21.46405000N,158.21285300W,2409
5,7,2003,21.4679432,-158.2128448,0.3,Oahu,OA388,Honolulu Fire Dept,21.46794320N,158.21284480W,2410
19,6,2007,21.463871,-158.2128296,0.1,Oahu,OA389,Honolulu Fire Dept,21.46387100N,158.21282960W,2411
1,10,2005,21.4642639,-158.212616,0.1,Oahu,OA390,Honolulu Fire Dept,21.46426390N,158.21261600W,2412
20,9,2010,21.4788437,-158.2126007,2.4,Oahu,OA392,Honolulu Fire Dept,21.47884370N,158.21260070W,2413
4,7,2001,21.4674854,-158.2126007,0.3,Oahu,OA391,Honolulu Fire Dept,21.46748540N,158.21260070W,2414
3,7,2004,21.4673901,-158.2125549,0.1,Oahu,OA393,Honolulu Fire Dept,21.46739010N,158.21255490W,2415
11,7,2013,21.467364,-158.212525,0.01,Oahu,2013_OA_0039659, ,21.46736400N,158.21252500W,2416
13,4,2005,21.4634571,-158.2125244,0.1,Oahu,OA394,Honolulu Fire Dept,21.46345710N,158.21252440W,2417
11,6,2018,21.463472,-158.212513,0.01,Oahu,2018_OA_0035423, ,21.46347200N,158.21251300W,2418
1,6,2010,21.4691772,-158.2124939,1,Oahu,OA397,Honolulu Fire Dept,21.46917720N,158.21249390W,2419
17,9,2002,21.4691639,-158.2124939,0.1,Oahu,OA395,Honolulu Fire Dept,21.46916390N,158.21249390W,2420
25,4,2008,21.4691639,-158.2124939,0.1,Oahu,OA396,Honolulu Fire Dept,21.46916390N,158.21249390W,2421
7,5,2017,21.460944,-158.212442,0.5,Oahu,2017_OA_0027990, ,21.46094400N,158.21244200W,2422
25,5,2012,21.469338,-158.212332,2.5,Oahu,2012_OA_0026386, ,21.46933800N,158.21233200W,2423
25,5,2012,21.469338,-158.212332,1.5,Oahu,2012_OA_0026483, ,21.46933800N,158.21233200W,2424
5,2,2012,21.469338,-158.212332,1,Oahu,2012_OA_0006458, ,21.46933800N,158.21233200W,2425
8,6,2012,21.469338,-158.212332,0.5,Oahu,2012_OA_0029200, ,21.46933800N,158.21233200W,2426
21,1,2013,21.469338,-158.212332,0.1,Oahu,2013_OA_0004678, ,21.46933800N,158.21233200W,2427
24,9,2009,21.4693375,-158.212326,0.1,Oahu,OA435,Honolulu Fire Dept,21.46933750N,158.21232600W,2428
17,9,2010,21.4693375,-158.212326,0.1,Oahu,OA436,Honolulu Fire Dept,21.46933750N,158.21232600W,2429
24,6,2011,21.4693375,-158.212326,0.1,Oahu,OA437,Honolulu Fire Dept,21.46933750N,158.21232600W,2430
16,7,2011,21.4693375,-158.212326,0.1,Oahu,OA438,Honolulu Fire Dept,21.46933750N,158.21232600W,2431
30,12,2006,21.4693279,-158.212326,4,Oahu,OA423,Honolulu Fire Dept,21.46932790N,158.21232600W,2432
10,7,2001,21.4693279,-158.212326,3,Oahu,OA399,Honolulu Fire Dept,21.46932790N,158.21232600W,2433
8,10,2007,21.4693279,-158.212326,3,Oahu,OA424,Honolulu Fire Dept,21.46932790N,158.21232600W,2434
24,3,2009,21.4693279,-158.212326,1.5,Oahu,OA428,Honolulu Fire Dept,21.46932790N,158.21232600W,2435
18,3,2005,21.4693279,-158.212326,1,Oahu,OA417,Honolulu Fire Dept,21.46932790N,158.21232600W,2436
19,10,2007,21.4693279,-158.212326,1,Oahu,OA425,Honolulu Fire Dept,21.46932790N,158.21232600W,2437
21,2,2009,21.4693279,-158.212326,1,Oahu,OA427,Honolulu Fire Dept,21.46932790N,158.21232600W,2438
9,5,2009,21.4693279,-158.212326,1,Oahu,OA431,Honolulu Fire Dept,21.46932790N,158.21232600W,2439
7,9,2009,21.4693279,-158.212326,1,Oahu,OA434,Honolulu Fire Dept,21.46932790N,158.21232600W,2440
20,1,2002,21.4693279,-158.212326,0.5,Oahu,OA405,Honolulu Fire Dept,21.46932790N,158.21232600W,2441
19,5,2009,21.4693279,-158.212326,0.5,Oahu,OA432,Honolulu Fire Dept,21.46932790N,158.21232600W,2442
16,11,2001,21.4693279,-158.212326,0.3,Oahu,OA404,Honolulu Fire Dept,21.46932790N,158.21232600W,2443
11,10,2002,21.4693279,-158.212326,0.3,Oahu,OA407,Honolulu Fire Dept,21.46932790N,158.21232600W,2444
8,10,2003,21.4693279,-158.212326,0.3,Oahu,OA411,Honolulu Fire Dept,21.46932790N,158.21232600W,2445
17,4,2005,21.4693279,-158.212326,0.3,Oahu,OA418,Honolulu Fire Dept,21.46932790N,158.21232600W,2446
6,6,2009,21.4693279,-158.212326,0.25,Oahu,OA433,Honolulu Fire Dept,21.46932790N,158.21232600W,2447
12,10,2001,21.4693279,-158.212326,0.2,Oahu,OA402,Honolulu Fire Dept,21.46932790N,158.21232600W,2448
27,9,2003,21.4693279,-158.212326,0.2,Oahu,OA410,Honolulu Fire Dept,21.46932790N,158.21232600W,2449
16,5,2005,21.4693279,-158.212326,0.2,Oahu,OA419,Honolulu Fire Dept,21.46932790N,158.21232600W,2450
6,4,2009,21.4693279,-158.212326,0.15,Oahu,OA429,Honolulu Fire Dept,21.46932790N,158.21232600W,2451
8,7,2001,21.4693279,-158.212326,0.1,Oahu,OA398,Honolulu Fire Dept,21.46932790N,158.21232600W,2452
16,9,2001,21.4693279,-158.212326,0.1,Oahu,OA400,Honolulu Fire Dept,21.46932790N,158.21232600W,2453
19,9,2001,21.4693279,-158.212326,0.1,Oahu,OA401,Honolulu Fire Dept,21.46932790N,158.21232600W,2454
12,11,2001,21.4693279,-158.212326,0.1,Oahu,OA403,Honolulu Fire Dept,21.46932790N,158.21232600W,2455
1,3,2002,21.4693279,-158.212326,0.1,Oahu,OA406,Honolulu Fire Dept,21.46932790N,158.21232600W,2456
17,2,2003,21.4693279,-158.212326,0.1,Oahu,OA408,Honolulu Fire Dept,21.46932790N,158.21232600W,2457
23,9,2003,21.4693279,-158.212326,0.1,Oahu,OA409,Honolulu Fire Dept,21.46932790N,158.21232600W,2458
13,10,2003,21.4693279,-158.212326,0.1,Oahu,OA412,Honolulu Fire Dept,21.46932790N,158.21232600W,2459
19,10,2003,21.4693279,-158.212326,0.1,Oahu,OA413,Honolulu Fire Dept,21.46932790N,158.21232600W,2460
21,5,2004,21.4693279,-158.212326,0.1,Oahu,OA414,Honolulu Fire Dept,21.46932790N,158.21232600W,2461
15,7,2004,21.4693279,-158.212326,0.1,Oahu,OA415,Honolulu Fire Dept,21.46932790N,158.21232600W,2462
29,7,2004,21.4693279,-158.212326,0.1,Oahu,OA416,Honolulu Fire Dept,21.46932790N,158.21232600W,2463
20,2,2006,21.4693279,-158.212326,0.1,Oahu,OA420,Honolulu Fire Dept,21.46932790N,158.21232600W,2464
2,12,2006,21.4693279,-158.212326,0.1,Oahu,OA421,Honolulu Fire Dept,21.46932790N,158.21232600W,2465
28,12,2006,21.4693279,-158.212326,0.1,Oahu,OA422,Honolulu Fire Dept,21.46932790N,158.21232600W,2466
28,4,2008,21.4693279,-158.212326,0.1,Oahu,OA426,Honolulu Fire Dept,21.46932790N,158.21232600W,2467
29,4,2009,21.4693279,-158.212326,0.1,Oahu,OA430,Honolulu Fire Dept,21.46932790N,158.21232600W,2468
28,12,2007,21.4669724,-158.2122345,0.1,Oahu,OA443,Honolulu Fire Dept,21.46697240N,158.21223450W,2469
20,4,2002,21.4622421,-158.2120514,0.2,Oahu,OA444,Honolulu Fire Dept,21.46224210N,158.21205140W,2470
4,7,2002,21.4622421,-158.2120514,0.1,Oahu,OA445,Honolulu Fire Dept,21.46224210N,158.21205140W,2471
24,8,2005,21.4622421,-158.2120514,0.1,Oahu,OA446,Honolulu Fire Dept,21.46224210N,158.21205140W,2472
6,1,2006,21.4622421,-158.2120514,0.1,Oahu,OA447,Honolulu Fire Dept,21.46224210N,158.21205140W,2473
11,1,2006,21.4622421,-158.2120514,0.1,Oahu,OA448,Honolulu Fire Dept,21.46224210N,158.21205140W,2474
3,6,2019,21.462213,-158.212038,1,Oahu,2019_OA_0035041, ,21.46221300N,158.21203800W,2475
21,2,2007,21.4621582,-158.2120209,0.3,Oahu,OA449,Honolulu Fire Dept,21.46215820N,158.21202090W,2476
10,3,2008,21.4622211,-158.2119446,0.1,Oahu,OA450,Honolulu Fire Dept,21.46222110N,158.21194460W,2477
17,4,2005,21.4625626,-158.2119141,0.1,Oahu,OA451,Honolulu Fire Dept,21.46256260N,158.21191410W,2478
